State Name,County Name,NAICS Description,Establishments
Georgia,Bibb,Religious,202
Georgia,Bleckley,Amusement,3
Georgia,Bleckley,Religious,16
Georgia,Bryan,Amusement,9
Georgia,Bryan,Religious,34
Georgia,Bulloch,Amusement,11
Georgia,Bulloch,Religious,57
Georgia,Burke,Amusement,3
Georgia,Burke,Religious,21
Georgia,Butts,Amusement,4
Georgia,Butts,Religious,23
Georgia,Camden,Amusement,6
Georgia,Camden,Religious,49
Georgia,Carroll,Amusement,20
Georgia,Carroll,Religious,121
Georgia,Catoosa,Amusement,10
Georgia,Catoosa,Religious,46
Georgia,Chatham,Amusement,88
Georgia,Chatham,Religious,325
Georgia,Cherokee,Amusement,77
Georgia,Cherokee,Religious,157
Georgia,Clarke,Amusement,37
Georgia,Clarke,Religious,134
Georgia,Clayton,Amusement,24
Georgia,Clayton,Religious,137
Georgia,Cobb,Amusement,206
Georgia,Cobb,Religious,527
Georgia,Coffee,Amusement,7
Georgia,Coffee,Religious,42
Georgia,Colquitt,Amusement,5
Georgia,Colquitt,Religious,51
Georgia,Columbia,Amusement,31
Georgia,Columbia,Religious,102
Georgia,Coweta,Amusement,34
Georgia,Coweta,Religious,100
Georgia,Dawson,Amusement,14
Georgia,Dawson,Religious,28
Georgia,DeKalb,Amusement,168
Georgia,DeKalb,Religious,543
Georgia,Decatur,Amusement,3
Georgia,Decatur,Religious,33
Georgia,Dougherty,Amusement,19
Georgia,Dougherty,Religious,96
Georgia,Douglas,Amusement,19
Georgia,Douglas,Religious,79
Georgia,Effingham,Amusement,6
Georgia,Effingham,Religious,47
Georgia,Emanuel,Amusement,4
Georgia,Emanuel,Religious,21
Georgia,Fannin,Amusement,12
Georgia,Fannin,Religious,41
Georgia,Fayette,Amusement,46
Georgia,Fayette,Religious,142
Georgia,Floyd,Amusement,18
Georgia,Floyd,Religious,103
Georgia,Forsyth,Amusement,68
Georgia,Forsyth,Religious,124
Georgia,Fulton,Amusement,393
Georgia,Fulton,Religious,"1,075"
Georgia,Gilmer,Amusement,3
Georgia,Gilmer,Religious,30
Georgia,Glynn,Amusement,28
Georgia,Glynn,Religious,106
Georgia,Gordon,Amusement,6
Georgia,Gordon,Religious,64
Georgia,Grady,Amusement,3
Georgia,Grady,Religious,27
Georgia,Greene,Amusement,4
Georgia,Greene,Religious,27
Georgia,Gwinnett,Amusement,245
Georgia,Gwinnett,Religious,635
Georgia,Habersham,Amusement,8
Georgia,Habersham,Religious,60
Georgia,Hall,Amusement,42
Georgia,Hall,Religious,157
Georgia,Haralson,Amusement,3
Georgia,Haralson,Religious,30
Georgia,Hart,Amusement,6
Georgia,Hart,Religious,35
Georgia,Henry,Amusement,47
Georgia,Henry,Religious,134
Georgia,Houston,Amusement,23
Georgia,Houston,Religious,110
Georgia,Jackson,Amusement,10
Georgia,Jackson,Religious,61
Georgia,Jefferson,Amusement,3
Georgia,Jefferson,Religious,19
Georgia,Jones,Amusement,7
Georgia,Jones,Religious,20
Georgia,Lamar,Amusement,3
Georgia,Lamar,Religious,19
Georgia,Laurens,Amusement,7
Georgia,Laurens,Religious,59
Georgia,Liberty,Amusement,9
Georgia,Liberty,Religious,50
Georgia,Lincoln,Amusement,4
Georgia,Lincoln,Religious,13
Georgia,Lowndes,Amusement,30
Georgia,Lowndes,Religious,98
Georgia,Lumpkin,Amusement,3
Georgia,Lumpkin,Religious,20
Georgia,Madison,Amusement,4
Georgia,Madison,Religious,31
Georgia,McDuffie,Amusement,5
Georgia,McDuffie,Religious,29
Georgia,Mitchell,Amusement,3
Georgia,Mitchell,Religious,22
Georgia,Monroe,Amusement,5
Georgia,Monroe,Religious,32
Georgia,Morgan,Amusement,3
Georgia,Morgan,Religious,30
Georgia,Murray,Amusement,3
Georgia,Murray,Religious,19
Georgia,Muscogee,Amusement,47
Georgia,Muscogee,Religious,220
Georgia,Newton,Amusement,15
Georgia,Newton,Religious,73
Georgia,Oconee,Amusement,13
Georgia,Oconee,Religious,47
Georgia,Paulding,Amusement,20
Georgia,Paulding,Religious,74
Georgia,Peach,Amusement,4
Georgia,Peach,Religious,16
Georgia,Pickens,Amusement,6
Georgia,Pickens,Religious,37
Georgia,Pierce,Amusement,4
Georgia,Pierce,Religious,22
Georgia,Polk,Amusement,6
Georgia,Polk,Religious,43
Georgia,Putnam,Amusement,6
Georgia,Putnam,Religious,24
Georgia,Rabun,Amusement,12
Georgia,Rabun,Religious,30
Georgia,Richmond,Amusement,32
Georgia,Richmond,Religious,205
Georgia,Rockdale,Amusement,15
Georgia,Rockdale,Religious,73
Georgia,Spalding,Amusement,10
Georgia,Spalding,Religious,64
Georgia,Stephens,Amusement,4
Georgia,Stephens,Religious,36
Georgia,Sumter,Amusement,5
Georgia,Sumter,Religious,39
Georgia,Thomas,Amusement,12
Georgia,Thomas,Religious,73
Georgia,Tift,Amusement,8
Georgia,Tift,Religious,52
Georgia,Toombs,Amusement,5
Georgia,Toombs,Religious,38
Georgia,Troup,Amusement,11
Georgia,Troup,Religious,89
Georgia,Union,Amusement,3
Georgia,Union,Religious,30
Georgia,Upson,Amusement,3
Georgia,Upson,Religious,35
Georgia,Walker,Amusement,3
Georgia,Walker,Religious,68
Georgia,Walton,Amusement,9
Georgia,Walton,Religious,70
Georgia,Ware,Amusement,6
Georgia,Ware,Religious,59
Georgia,Washington,Amusement,3
Georgia,Washington,Religious,22
Georgia,Wayne,Amusement,6
Georgia,Wayne,Religious,41
Georgia,White,Amusement,11
Georgia,White,Religious,36
Georgia,Whitfield,Amusement,17
Georgia,Whitfield,Religious,95
